Dimensionless time,Outlet dimensionless concentration 1,Outlet dimensionless concentration 2
0.0,0.0,0.0
0.025,0.0,0.0
0.05,0.0,0.0
0.07500000000000001,0.0,0.0
0.1,0.0,0.0
0.125,0.0,0.0
0.15000000000000002,0.0,0.0
0.17500000000000002,0.0,0.0
0.2,0.0,0.0
0.225,0.0,0.0
0.25,0.0,0.0
0.275,0.0,0.0
0.30000000000000004,0.0,0.0
0.325,0.0,0.0
0.35000000000000003,0.0,0.0
0.375,0.0,0.0
0.4,0.0,0.0
0.42500000000000004,0.0,0.0
0.45,0.0,0.0
0.47500000000000003,0.0,0.0
0.5,0.0,0.0
0.525,0.0,0.0
0.55,0.0,0.0
0.5750000000000001,0.0,0.0
0.6000000000000001,0.0,0.0
0.625,0.0,0.0
0.65,0.0,0.0
0.675,0.0,0.0
0.7000000000000001,0.0,0.0
0.7250000000000001,0.0,0.0
0.75,0.0,0.0
0.775,0.0,0.0
0.8,0.0,0.0
0.8250000000000001,0.0,0.0
0.8500000000000001,0.0,0.0
0.875,0.0,0.0
0.9,0.0,0.0
0.925,0.0,0.0
0.9500000000000001,0.0,0.0
0.9750000000000001,0.0,0.0
1.0,0.0,0.0
1.0250000000000001,0.0,0.0
1.05,0.0,0.0
1.075,0.0,0.0
1.1,0.0,0.0
1.125,0.0,0.0
1.1500000000000001,0.0,0.0
1.175,0.0,0.0
1.2000000000000002,0.0,0.0
1.225,0.0,0.0
1.25,0.0,0.0
1.2750000000000001,0.0,0.0
1.3,0.0,0.0
1.3250000000000002,0.0,0.0
1.35,0.0,0.0
1.375,0.0,0.0
1.4000000000000001,0.0,0.0
1.425,0.0,0.0
1.4500000000000002,0.0,0.0
1.475,0.0,0.0
1.5,0.0,0.0
1.5250000000000001,9.201019647617635e-134,1.282971692160247e-13
1.55,5.578889396421702e-132,3.264222059525436e-12
1.5750000000000002,1.7190875237304212e-130,4.245587256827236e-11
1.6,3.588506484981642e-129,3.7661659053760944e-10
1.625,5.707418664739549e-128,2.5654569570293765e-09
1.6500000000000001,7.3756573626142336e-127,1.4328538056516353e-08
1.675,8.065389282077257e-126,6.843626703794482e-08
1.7000000000000002,7.674527248047087e-125,2.8795273131487035e-07
1.725,6.485478597765507e-124,1.091603191595783e-06
1.75,4.943648871748966e-123,3.7957826882456116e-06
1.7750000000000001,3.4409590865991707e-122,1.2288756896403767e-05
1.8,2.20863273612083e-121,3.751867585661686e-05
1.8250000000000002,1.3179846521198343e-120,0.00010924287207454075
1.85,7.362067656465337e-120,0.00030636319871218097
1.875,3.8717804605161877e-119,0.0008346572262505856
1.9000000000000001,1.926709202824374e-118,0.002224930802957036
1.925,9.112027150689942e-118,0.005834267181346536
1.9500000000000002,4.1113746779101486e-117,0.015089907520073146
1.975,1.775969478160031e-116,0.03841826137365868
2.0,7.367426404418579e-116,0.09515467024421433
2.025,2.943360315257412e-115,0.22184727927332087
2.0500000000000003,1.135169114298856e-114,0.4520420064074496
2.075,4.233940908087008e-114,0.7145173107279723
2.1,1.528786291526989e-113,0.8355439004750945
2.125,5.348540590092662e-113,0.8495302233434702
2.15,1.815702008536038e-112,0.8499882708197275
2.1750000000000003,5.991221712734762e-112,0.8499997100605975
2.2,1.9245261278682647e-111,0.8499999928354762
2.225,6.026641866511313e-111,0.8499999998229775
2.25,1.8421175700103845e-110,0.8499999999956263
2.275,5.502348903503292e-110,0.849999999999892
2.3000000000000003,1.6077724575775165e-109,0.8499999999999974
2.325,4.600103913435397e-109,0.85
2.35,1.2899318859643786e-108,0.85
2.375,3.548000687878821e-108,0.85
2.4000000000000004,9.579776010158658e-108,0.85
2.4250000000000003,2.5409523973840913e-107,0.85
2.45,6.625245507314875e-107,0.85
2.475,1.6992149156652937e-106,0.85
2.5,4.289390965814573e-106,0.85
2.5250000000000004,1.0663234084871868e-105,0.85
2.5500000000000003,2.61191721086692e-105,0.85
2.575,6.307038210478825e-105,0.85
2.6,1.5020825842779896e-104,0.85
2.625,3.529882985202635e-104,0.85
2.6500000000000004,8.188620871663557e-104,0.85
2.6750000000000003,1.8759517163569221e-103,0.85
2.7,4.245812297456731e-103,0.85
2.725,9.497031746760767e-103,0.85
2.75,2.1001733042217364e-102,0.85
2.7750000000000004,4.593118526393849e-102,0.85
2.8000000000000003,9.93765641581265e-102,0.85
2.825,2.1277296896551285e-101,0.85
2.85,4.5095335415184606e-101,0.85
2.875,9.463473400169994e-101,0.85
2.9000000000000004,1.9669315127402597e-100,0.85
2.9250000000000003,4.0500348175908323e-100,0.85
2.95,8.263531372135138e-100,0.85
2.975,1.6711378084083886e-99,0.85
3.0,3.350400325143155e-99,0.85
3.0250000000000004,6.660599774361961e-99,0.85
3.0500000000000003,1.3132665446781356e-98,0.85
3.075,2.568636142118013e-98,0.85
3.1,4.984785249411031e-98,0.85
3.125,9.599870192613727e-98,0.85
3.1500000000000004,1.8350050023341115e-97,0.85
3.1750000000000003,3.482068167357108e-97,0.85
3.2,6.560514295204534e-97,0.85
3.225,1.2274647946487454e-96,0.85
3.25,2.280963156312984e-96,0.85
3.2750000000000004,4.210472022439556e-96,0.85
3.3000000000000003,7.72164123261101e-96,0.85
3.325,1.4070699971869778e-95,0.85
3.35,2.548050125986023e-95,0.85
3.375,4.5860990701386527e-95,0.85
3.4000000000000004,8.204975499985609e-95,0.85
3.4250000000000003,1.4593618157232572e-94,0.85
3.45,2.580787646785343e-94,0.85
3.475,4.5383222662317425e-94,0.85
3.5,7.936715093505728e-94,0.85
3.5250000000000004,1.3804980740183304e-93,0.85
3.5500000000000003,2.3885048145695263e-93,0.85
3.575,4.11108190467952e-93,0.85
3.6,7.039939385515974e-93,0.85
3.625,1.199516796214602e-92,0.85
3.6500000000000004,2.0338035954945345e-92,0.85
3.6750000000000003,3.431756286971269e-92,0.85
3.7,5.763243801930645e-92,0.85
3.725,9.633807885986023e-92,0.85
3.75,1.603044905516017e-91,0.85
3.7750000000000004,2.655494486237505e-91,0.85
3.8000000000000003,4.3795699528276803e-91,0.85
3.825,7.191794994056131e-91,0.85
3.85,1.1759678095719603e-90,0.85
3.875,1.9148623163419843e-90,0.85
3.9000000000000004,3.1052352891830933e-90,0.85
3.9250000000000003,5.015293783593499e-90,0.85
3.95,8.068121745340592e-90,0.85
3.975,1.2928592959601382e-89,0.85
4.0,2.0637670555451803e-89,0.85
4.025,3.2819187808023006e-89,0.85
4.05,5.199710956126894e-89,0.85
4.075,8.208061997503592e-89,0.85
4.1000000000000005,1.2910329104440482e-88,0.85
4.125,2.02345644478207e-88,0.85
4.15,3.1603434885000447e-88,0.85
4.175,4.91905914519995e-88,0.85
4.2,7.63062364128757e-88,0.85
4.2250000000000005,1.1797517387888542e-87,0.85
4.25,1.81800752858699e-87,0.85
4.275,2.792521621929261e-87,0.85
4.3,4.2757676854510095e-87,0.85
4.325,6.526325803327123e-87,0.85
4.3500000000000005,9.930713291914258e-87,0.85
4.375,1.506498446913598e-86,0.85
4.4,2.2785185304521914e-86,0.85
4.425,3.435980879043753e-86,0.85
4.45,5.166321991480213e-86,0.85
4.4750000000000005,7.745734918277078e-86,0.85
4.5,1.1580083945935986e-85,0.85
4.525,1.726417473073186e-85,0.85
4.55,2.5667391596072688e-85,0.85
4.575,3.8057114817206925e-85,0.85
4.6000000000000005,5.627613561960442e-85,0.85
4.625,8.299705845306348e-85,0.85
4.65,1.2208620149377459e-84,0.85
4.675,1.791228624481854e-84,0.85
4.7,2.621385089176209e-84,0.85
4.7250000000000005,3.8266655332516874e-84,0.85
4.75,5.5722973642237545e-84,0.85
4.775,8.0944269440486765e-84,0.85
4.800000000000001,1.1729774042745433e-83,0.85
4.825,1.6957362560054773e-83,0.85
4.8500000000000005,2.4457115488116507e-83,0.85
4.875,3.5191949655708915e-83,0.85
4.9,5.052254698661831e-83,0.85
4.925000000000001,7.236746707811467e-83,0.85
4.95,1.034260440130719e-82,0.85
4.9750000000000005,1.474880425179389e-82,0.85
5.0,2.098629612273015e-82,0.85
5.025,2.979740077412576e-82,0.85
5.050000000000001,4.22178266041432e-82,0.85
5.075,5.968969546293148e-82,0.85
5.1000000000000005,8.421699738666012e-82,0.85
5.125,1.18578989214989e-81,0.85
5.15,1.6662257654920562e-81,0.85
5.175000000000001,2.336621578221712e-81,0.85
5.2,3.2702540917211017e-81,0.85
5.2250000000000005,4.5679690696339e-81,0.85
5.25,6.368294581957256e-81,0.85
5.275,8.861170425939217e-81,0.85
5.300000000000001,1.2306553524009242e-80,0.85
5.325,1.705958670075401e-80,0.85
5.3500000000000005,2.360458705239716e-80,0.85
5.375,3.2600865635450136e-80,0.85
5.4,4.494439206307063e-80,0.85
5.425000000000001,6.1850643994963986e-80,0.85
5.45,8.496573477025189e-80,0.85
5.4750000000000005,1.1651522628847867e-79,0.85
5.5,1.5950308318041838e-79,0.85
5.525,2.1797723566382523e-79,0.85
5.550000000000001,2.973834880015932e-79,0.85
5.575,4.050364213648349e-79,0.85
5.6000000000000005,5.507449925126182e-79,0.85
5.625,7.476423685632854e-79,0.85
5.65,1.0132849982227313e-78,0.85
5.675000000000001,1.3711060796522452e-78,0.85
5.7,1.8523348358231832e-78,0.85
5.7250000000000005,2.498527141616733e-78,0.85
5.75,3.3648973680916237e-78,0.85
5.775,4.524698779321689e-78,0.85
5.800000000000001,6.074974234783498e-78,0.85
5.825,8.144095182552044e-78,0.85
5.8500000000000005,1.0901631203273524e-77,0.85
5.875,1.4571252640500504e-77,0.85
5.9,1.9447575286718157e-77,0.85
5.925000000000001,2.5918121633328256e-77,0.85
5.95,3.4491914319546917e-77,0.85
5.9750000000000005,4.583665508713451e-77,0.85
6.0,6.082700337988521e-77,0.85
6.025,8.060718647699094e-77,0.85
6.050000000000001,1.0667209048507916e-76,0.85
6.075,1.4097215275128358e-76,0.85
6.1000000000000005,1.8604886969559595e-76,0.85
6.125,2.452096360388415e-76,0.85
6.15,3.2275305079775256e-76,0.85
6.175000000000001,4.2425889935884025e-76,0.85
6.2,5.569609219453966e-76,0.85
6.2250000000000005,7.302254236530482e-76,0.85
6.25,9.561650420854055e-76,0.85
6.275,1.2504249066999481e-75,0.85
6.300000000000001,1.6331884266678485e-75,0.85
6.325,2.130462566096974e-75,0.85
6.3500000000000005,2.775718375190723e-75,0.85
6.375,3.6119825777188096e-75,0.85
6.4,4.694501209712318e-75,0.85
6.425000000000001,6.09412795809764e-75,0.85
6.45,7.901629574716545e-75,0.85
6.4750000000000005,1.0233150547153915e-74,0.85
6.5,1.323714158498276e-74,0.85
6.525,1.710313452052473e-74,0.85
6.550000000000001,2.207284375991592e-74,0.85
6.575,2.8454196199681164e-74,0.85
6.6000000000000005,3.663904341831656e-74,0.85
6.625,4.712549921926988e-74,0.85
6.65,6.054608120276058e-74,0.85
6.675000000000001,7.770312803399324e-74,0.85
6.7,9.961332807882891e-74,0.85
6.7250000000000005,1.2756364687016076e-73,0.85
6.75,1.6318150108486905e-73,0.85
6.775,2.0852272071366363e-73,0.85
6.800000000000001,2.6618170003503755e-73,0.85
6.825,3.394292000623886e-73,0.85
6.8500000000000005,4.323845771436805e-73,0.85
6.875,5.5023083169506596e-73,0.85
6.9,6.994828677983556e-73,0.85
6.925000000000001,8.883218143464663e-73,0.85
6.95,1.1270112863252964e-72,0.85
6.9750000000000005,1.4284151884968105e-72,0.85
7.0,1.8086412390478398e-72,0.85
7.025,2.2878400075587635e-72,0.85
7.050000000000001,2.891196151037695e-72,0.85
7.075,3.650156974842196e-72,0.85
7.1000000000000005,4.603953783649315e-72,0.85
7.125,5.801484135987601e-72,0.85
7.15,7.30363857740492e-72,0.85
7.175000000000001,9.186174312116095e-72,0.85
7.2,1.1543261319848192e-71,0.85
7.2250000000000005,1.4491854527888614e-71,0.85
7.25,1.8177079889607634e-71,0.85
7.275,2.2778863906982874e-71,0.85
7.300000000000001,2.8520086844125183e-71,0.85
7.325,3.56766015157536e-71,0.85
7.3500000000000005,4.4589534394889404e-71,0.85
7.375,5.568037663372701e-71,0.85
7.4,6.946948276053241e-71,0.85
7.425000000000001,8.659872830916806e-71,0.85
7.45,1.0785923927150859e-70,0.85
7.4750000000000005,1.3422530182039e-70,0.85
7.5,1.6689579717420202e-70,0.85
7.525,2.073447920908162e-70,0.85
7.550000000000001,2.573832602689501e-70,0.85
7.575,3.192343258535841e-70,0.85
7.6000000000000005,3.956249215967139e-70,0.85
7.625,4.898973581287883e-70,0.85
7.65,6.061450277038827e-70,0.85
7.675000000000001,7.4937734012363e-70,0.85
7.7,9.257200394812443e-70,0.85
7.7250000000000005,1.1426583126791307e-69,0.85
7.75,1.4093316158201232e-69,0.85
7.775,1.7368909619377947e-69,0.85
7.800000000000001,2.1389315919019678e-69,0.85
7.825,2.6320165596438625e-69,0.85
7.8500000000000005,3.236309886228216e-69,0.85
7.875,3.976341673527953e-69,0.85
7.9,4.881932034599242e-69,0.85
7.925000000000001,5.98930603345281e-69,0.85
7.95,7.342438196760813e-69,0.85
7.9750000000000005,8.994672759643098e-69,0.85
8.0,1.1010674868586463e-68,0.85
8.025,1.3468778760807e-68,0.85
8.05,1.6463811795106387e-68,0.85
8.075000000000001,2.0110488507654772e-68,0.85
8.1,2.454748705980153e-68,0.85
8.125,2.9942342068384124e-68,0.85
8.15,3.649731349264829e-68,0.85
8.175,4.445642173940041e-68,0.85
8.200000000000001,5.411387531573169e-68,0.85
8.225,6.582416023877565e-68,0.85
8.25,8.001411121953104e-68,0.85
8.275,9.719734480225925e-68,0.85
8.3,1.179915058430869e-67,0.85
8.325000000000001,1.4313886292626865e-67,0.85
8.35,1.7353088786368853e-67,0.85
8.375,2.1023757202529873e-67,0.85
8.4,2.5454237109937048e-67,0.85
8.425,3.079838337265934e-67,0.85
8.450000000000001,3.72405162679587e-67,0.85
8.475,4.5001318500883675e-67,0.85
