Pressure (bar),Loading (mmol/g)
0.00001,1.00E-05
0.01,0.003078258
0.05,0.015247569
0.1,0.029576006
0.3,0.089627097
0.5,0.150580608
0.7,0.208208532
1,0.298758103
2,0.602797038
4,1.190787691
6,1.756882941
8,2.325291062
10,2.917877376
15,4.353876194
20,5.735639521
25,7.017665297
30,8.250769838
40,10.35756
