Pressure (bar),Loading (mmol/g)
0.00001,0
0.01,0.000852286
0.1,0.008703347
0.5,0.045532143
1,0.088567588
2,0.180056345
4,0.358568548
5,0.447965026
6,0.532438297
8,0.702557986
10,0.896150643
15,1.289201692
20,1.664438286
25,2.085410903
30,2.509281294
40,3.3068
