Pressure (bar),Loading (mmol/g)
0.00001,3.34E-06
0.01,0.018138658
0.05,0.111993763
0.1,0.209030737
0.3,0.533631498
0.5,0.838960561
0.7,1.056831679
1,1.327009781
2,1.972274074
4,2.963576634
6,3.755216922
8,4.54690066
10,5.19919715
15,6.749165029
20,8.150540968
25,9.3251653
30,10.38982799
40,12.22924
