Pressure (bar),Loading (mmol/g)
0.00001,0.000066846
0.01,0.071762507
0.1,0.741509142
0.5,3.966707591
1,8.454904107
2,15.67342822
4,22.35689033
5,24.4826361
6,25.76456161
8,27.80641232
10,28.95318193
15,30.89235388
20,31.89686186
25,32.73119334
30,33.23239785
